task,model_name,point_index,false_positive_rate,true_positive_rate,threshold
malignant_vs_non_malignant,Task-specific compact panel,2,0.045454545454545456,0.14285714285714285,0.9049432955417175
malignant_vs_non_malignant,Task-specific compact panel,3,0.045454545454545456,0.42857142857142855,0.867891173483747
malignant_vs_non_malignant,Task-specific compact panel,4,0.09090909090909091,0.42857142857142855,0.8438189965456281
malignant_vs_non_malignant,Task-specific compact panel,5,0.09090909090909091,0.7142857142857143,0.7129070803925915
malignant_vs_non_malignant,Task-specific compact panel,6,0.13636363636363635,0.7142857142857143,0.6881318257048505
malignant_vs_non_malignant,Task-specific compact panel,7,0.13636363636363635,0.8571428571428571,0.6337872233739688
malignant_vs_non_malignant,Task-specific compact panel,8,0.7727272727272727,0.8571428571428571,0.1286697052102506
malignant_vs_non_malignant,Task-specific compact panel,9,0.7727272727272727,1.0,0.11532177234544976
malignant_vs_non_malignant,Task-specific compact panel,10,1.0,1.0,0.006658549709992155
inflammatory_vs_hyperplastic,Intensity-distribution baseline,0,0.0,0.0,inf
inflammatory_vs_hyperplastic,Intensity-distribution baseline,1,0.0,0.1,0.9678643362384834
inflammatory_vs_hyperplastic,Intensity-distribution baseline,2,0.0,0.4,0.8789638017955723
inflammatory_vs_hyperplastic,Intensity-distribution baseline,3,0.16666666666666666,0.4,0.7752399341831793
inflammatory_vs_hyperplastic,Intensity-distribution baseline,4,0.16666666666666666,0.8,0.3783468584218871
inflammatory_vs_hyperplastic,Intensity-distribution baseline,5,1.0,0.8,0.13273982167143888
inflammatory_vs_hyperplastic,Intensity-distribution baseline,6,1.0,1.0,2.4717334169104142e-36
inflammatory_vs_hyperplastic,GLCM texture baseline,0,0.0,0.0,inf
inflammatory_vs_hyperplastic,GLCM texture baseline,1,0.16666666666666666,0.0,0.9999995670984161
inflammatory_vs_hyperplastic,GLCM texture baseline,2,0.16666666666666666,0.3,0.7966891051950463
inflammatory_vs_hyperplastic,GLCM texture baseline,3,0.3333333333333333,0.3,0.7262307798162245
inflammatory_vs_hyperplastic,GLCM texture baseline,4,0.3333333333333333,0.8,0.4719669664598465
inflammatory_vs_hyperplastic,GLCM texture baseline,5,0.5,0.8,0.46686550256228504
inflammatory_vs_hyperplastic,GLCM texture baseline,6,0.5,0.9,0.4354946853513144
inflammatory_vs_hyperplastic,GLCM texture baseline,7,1.0,0.9,0.13676161438049245
inflammatory_vs_hyperplastic,GLCM texture baseline,8,1.0,1.0,0.01196743802194754
inflammatory_vs_hyperplastic,Signal-area baseline,0,0.0,0.0,inf
inflammatory_vs_hyperplastic,Signal-area baseline,1,0.0,0.1,0.8238485913154131
inflammatory_vs_hyperplastic,Signal-area baseline,2,0.0,0.2,0.7610870789583906
inflammatory_vs_hyperplastic,Signal-area baseline,3,0.16666666666666666,0.2,0.7352892105541707
inflammatory_vs_hyperplastic,Signal-area baseline,4,0.16666666666666666,0.6,0.6265897552035333
inflammatory_vs_hyperplastic,Signal-area baseline,5,0.3333333333333333,0.6,0.5054343396569071
inflammatory_vs_hyperplastic,Signal-area baseline,6,0.3333333333333333,0.8,0.4980801836987736
inflammatory_vs_hyperplastic,Signal-area baseline,7,0.5,0.8,0.43650875974586767
inflammatory_vs_hyperplastic,Signal-area baseline,8,0.5,0.9,0.3693625643178135
inflammatory_vs_hyperplastic,Signal-area baseline,9,1.0,0.9,0.12443384451090778
inflammatory_vs_hyperplastic,Signal-area baseline,10,1.0,1.0,0.12134233258294026
inflammatory_vs_hyperplastic,Low-signal morphology baseline,0,0.0,0.0,inf
inflammatory_vs_hyperplastic,Low-signal morphology baseline,1,0.0,0.1,0.9979511079319635
inflammatory_vs_hyperplastic,Low-signal morphology baseline,2,0.0,0.4,0.8337478588148339
inflammatory_vs_hyperplastic,Low-signal morphology baseline,3,0.16666666666666666,0.4,0.7114320913578598
